"PLAYER	MIN	PTS	FG%	3P%	REB	AST	BLK	STL"
"Embiid_Joel	34.6	33.1	54.8	33.0	10.2	4.2	1.7	3.4"
"Doncic_Luka	36.2	32.4	49.6	34.2	8.6	8.0	0.5	3.6"
"Lillard_Damian	36.3	32.2	46.3	37.1	4.8	7.3	0.3	3.3"
"Gilgeous_Shai	35.5	31.4	51.0	34.5	4.8	5.5	1.0	2.8"
"Antetokounmpo_Giannis	32.1	31.1	55.3	27.5	11.8	5.7	0.8	3.9"
"Tatum_Jayson	36.9	30.1	46.6	35.0	8.8	4.6	0.7	2.9"
"Curry_Stephen	34.7	29.4	49.3	42.7	6.1	6.3	0.4	3.2"
"Durant_Kevin	35.6	29.1	56.0	40.4	6.7	5.0	1.4	3.3"
"James_LeBron	35.5	28.9	50.0	32.1	8.3	6.8	0.6	3.2"
"Mitchell_Donovan	35.8	28.3	48.4	38.6	4.3	4.4	0.4	2.6"
